state,x,y
Andhra Pradesh,-64,-113
Arunachal Pradesh,134,65
Assam,113,40
Bihar,23,28
Chhattisgarh,-26,-28
Goa,-118,-110
Gujarat,-151,-11
Haryana,-94,85
Himachal Pradesh,-77,128
Jharkhand,17,7
Karnataka,-123,-137
Kerala,-93,-182
Madhya Pradesh,-85,-7
Maharashtra,-125,-73
Manipur,140,17
Meghalaya,92,23
Mizoram,123,-9
Nagaland,158,43
Odisha,12,-46
Punjab,-105,103
Rajasthan,-135,45
Sikkim,70,59
Tamil Nadu,-61,-169
Telangana,-59,-78
Tripura,101,5
Uttar Pradesh,-41,50
Uttarakhand,-50,106
West Bengal,55,-13
Andaman And Nicobar Islands,67,-170
Dadra & Nagar Haveli & Daman & Diu,-290,-53
Lakshadweep,-176,-176
Delhi,-75,71
Puducherry,-34,-155
Ladakh,-54,169
Jammu And Kashmir,-154,142
